,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
302,20,org.apache.spark.serializer.KryoSerializer,6,6,40,20,160,tiny,aggregation,120,36
474,12,org.apache.spark.serializer.JavaSerializer,10,4,240,240,160,gigantic,aggregation,120,40
740,20,org.apache.spark.serializer.JavaSerializer,6,6,20,240,160,tiny,aggregation,120,36
335,12,org.apache.spark.serializer.KryoSerializer,10,4,20,240,80,tiny,join,120,40
392,20,org.apache.spark.serializer.KryoSerializer,6,6,20,480,160,small,join,120,36
732,12,org.apache.spark.serializer.KryoSerializer,10,4,20,360,640,large,join,120,40
98,20,org.apache.spark.serializer.KryoSerializer,6,6,80,360,320,gigantic,scan,120,36
102,12,org.apache.spark.serializer.KryoSerializer,10,6,360,360,160,gigantic,scan,120,60
139,12,org.apache.spark.serializer.JavaSerializer,10,6,480,240,320,tiny,scan,120,60
198,12,org.apache.spark.serializer.KryoSerializer,10,4,20,480,160,tiny,scan,120,40
303,12,org.apache.spark.serializer.KryoSerializer,10,4,20,360,640,bigdata,scan,120,40
498,20,org.apache.spark.serializer.KryoSerializer,6,6,480,240,320,bigdata,scan,120,36
729,20,org.apache.spark.serializer.KryoSerializer,6,6,360,40,320,bigdata,scan,120,36
945,12,org.apache.spark.serializer.JavaSerializer,10,6,480,20,640,gigantic,scan,120,60
173,12,org.apache.spark.serializer.JavaSerializer,10,6,20,360,320,large,sort,120,60
233,12,org.apache.spark.serializer.KryoSerializer,10,6,480,80,640,small,sort,120,60
332,12,org.apache.spark.serializer.JavaSerializer,10,6,480,240,320,bigdata,sort,120,60
675,12,org.apache.spark.serializer.JavaSerializer,10,4,360,360,320,large,sort,120,40
815,20,org.apache.spark.serializer.KryoSerializer,6,6,360,360,80,gigantic,sort,120,36
879,20,org.apache.spark.serializer.KryoSerializer,6,6,80,80,320,gigantic,sort,120,36
459,12,org.apache.spark.serializer.JavaSerializer,10,4,80,240,640,gigantic,terasort,120,40
872,12,org.apache.spark.serializer.KryoSerializer,10,6,20,360,640,tiny,terasort,120,60
120,12,org.apache.spark.serializer.JavaSerializer,10,4,80,20,320,gigantic,wordcount,120,40
271,12,org.apache.spark.serializer.JavaSerializer,10,4,80,40,160,bigdata,wordcount,120,40
495,20,org.apache.spark.serializer.JavaSerializer,6,6,240,240,640,large,wordcount,120,36
557,20,org.apache.spark.serializer.KryoSerializer,6,6,40,360,640,large,wordcount,120,36
667,12,org.apache.spark.serializer.KryoSerializer,10,4,360,240,640,tiny,wordcount,120,40
689,12,org.apache.spark.serializer.JavaSerializer,10,6,480,360,160,gigantic,wordcount,120,60
