index,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
19,4,org.apache.spark.serializer.JavaSerializer,2,2,20,80,160,huge,aggregation,8,4
771,4,org.apache.spark.serializer.KryoSerializer,2,2,240,20,320,tiny,aggregation,8,4
232,4,org.apache.spark.serializer.JavaSerializer,2,2,20,40,320,large,join,8,4
524,4,org.apache.spark.serializer.KryoSerializer,2,2,40,40,160,tiny,join,8,4
387,4,org.apache.spark.serializer.KryoSerializer,2,2,80,240,80,small,sort,8,4
697,4,org.apache.spark.serializer.JavaSerializer,2,2,20,240,80,bigdata,sort,8,4
851,4,org.apache.spark.serializer.KryoSerializer,2,2,240,240,160,gigantic,sort,8,4
404,4,org.apache.spark.serializer.KryoSerializer,2,2,360,80,160,small,wordcount,8,4
577,4,org.apache.spark.serializer.JavaSerializer,2,2,360,360,80,huge,wordcount,8,4
873,4,org.apache.spark.serializer.JavaSerializer,2,2,480,240,320,gigantic,wordcount,8,4
22,8,org.apache.spark.serializer.KryoSerializer,2,4,240,20,80,large,aggregation,16,8
253,8,org.apache.spark.serializer.JavaSerializer,2,6,480,80,80,large,aggregation,16,12
386,4,org.apache.spark.serializer.JavaSerializer,4,2,240,20,640,huge,aggregation,16,8
400,8,org.apache.spark.serializer.JavaSerializer,2,2,80,20,160,gigantic,aggregation,16,4
486,8,org.apache.spark.serializer.KryoSerializer,2,2,80,480,80,gigantic,aggregation,16,4
582,8,org.apache.spark.serializer.KryoSerializer,2,6,40,480,160,huge,aggregation,16,12
833,8,org.apache.spark.serializer.JavaSerializer,2,6,480,80,160,huge,aggregation,16,12
862,8,org.apache.spark.serializer.KryoSerializer,2,4,40,40,640,large,aggregation,16,8
899,8,org.apache.spark.serializer.KryoSerializer,2,2,20,360,80,small,aggregation,16,4
935,4,org.apache.spark.serializer.JavaSerializer,4,2,80,20,640,tiny,aggregation,16,8
51,8,org.apache.spark.serializer.KryoSerializer,2,4,480,20,320,bigdata,join,16,8
77,8,org.apache.spark.serializer.KryoSerializer,2,2,40,240,640,huge,join,16,4
469,8,org.apache.spark.serializer.JavaSerializer,2,2,360,20,640,tiny,join,16,4
499,8,org.apache.spark.serializer.KryoSerializer,2,2,360,360,640,gigantic,join,16,4
509,8,org.apache.spark.serializer.KryoSerializer,2,6,480,20,80,small,join,16,12
632,8,org.apache.spark.serializer.KryoSerializer,2,4,480,240,80,bigdata,join,16,8
837,4,org.apache.spark.serializer.KryoSerializer,4,2,240,80,640,gigantic,join,16,8
99,8,org.apache.spark.serializer.KryoSerializer,2,4,40,360,160,gigantic,scan,16,8
163,8,org.apache.spark.serializer.JavaSerializer,2,4,40,40,80,small,scan,16,8
194,8,org.apache.spark.serializer.KryoSerializer,2,2,80,40,320,bigdata,scan,16,4
201,4,org.apache.spark.serializer.KryoSerializer,4,2,360,480,320,tiny,scan,16,8
241,8,org.apache.spark.serializer.JavaSerializer,2,2,40,480,160,gigantic,scan,16,4
280,8,org.apache.spark.serializer.JavaSerializer,2,6,360,240,640,tiny,scan,16,12
420,4,org.apache.spark.serializer.KryoSerializer,4,2,40,40,320,tiny,scan,16,8
579,8,org.apache.spark.serializer.KryoSerializer,2,6,240,80,640,gigantic,scan,16,12
635,8,org.apache.spark.serializer.KryoSerializer,2,2,480,20,80,large,scan,16,4
647,8,org.apache.spark.serializer.KryoSerializer,2,6,480,480,80,tiny,scan,16,12
788,8,org.apache.spark.serializer.JavaSerializer,2,2,80,20,80,bigdata,scan,16,4
814,8,org.apache.spark.serializer.KryoSerializer,2,4,80,80,80,gigantic,scan,16,8
852,8,org.apache.spark.serializer.JavaSerializer,2,2,480,360,640,small,scan,16,4
951,8,org.apache.spark.serializer.JavaSerializer,2,6,240,480,160,bigdata,scan,16,12
966,8,org.apache.spark.serializer.KryoSerializer,2,2,360,20,320,tiny,scan,16,4
35,8,org.apache.spark.serializer.KryoSerializer,2,6,240,480,640,tiny,sort,16,12
187,4,org.apache.spark.serializer.KryoSerializer,4,2,40,360,640,large,sort,16,8
442,4,org.apache.spark.serializer.JavaSerializer,4,2,480,40,640,bigdata,sort,16,8
447,8,org.apache.spark.serializer.JavaSerializer,2,6,40,80,160,tiny,sort,16,12
581,8,org.apache.spark.serializer.JavaSerializer,2,4,40,240,80,large,sort,16,8
755,4,org.apache.spark.serializer.JavaSerializer,4,2,240,40,160,small,sort,16,8
910,8,org.apache.spark.serializer.KryoSerializer,2,4,80,240,320,huge,sort,16,8
973,4,org.apache.spark.serializer.KryoSerializer,4,2,360,80,320,huge,sort,16,8
446,8,org.apache.spark.serializer.KryoSerializer,2,2,80,360,640,gigantic,terasort,16,4
550,8,org.apache.spark.serializer.KryoSerializer,2,2,80,480,640,bigdata,terasort,16,4
637,8,org.apache.spark.serializer.JavaSerializer,2,4,240,40,320,huge,terasort,16,8
843,4,org.apache.spark.serializer.KryoSerializer,4,2,40,240,80,small,terasort,16,8
897,8,org.apache.spark.serializer.JavaSerializer,2,4,80,360,320,large,terasort,16,8
976,8,org.apache.spark.serializer.KryoSerializer,2,6,20,480,80,huge,terasort,16,12
123,8,org.apache.spark.serializer.KryoSerializer,2,6,20,360,80,huge,wordcount,16,12
165,8,org.apache.spark.serializer.JavaSerializer,2,4,20,360,320,small,wordcount,16,8
491,8,org.apache.spark.serializer.KryoSerializer,2,4,80,80,160,small,wordcount,16,8
605,8,org.apache.spark.serializer.JavaSerializer,2,4,480,360,640,huge,wordcount,16,8
846,8,org.apache.spark.serializer.JavaSerializer,2,2,20,240,320,bigdata,wordcount,16,4
867,8,org.apache.spark.serializer.JavaSerializer,2,6,480,20,160,bigdata,wordcount,16,12
888,4,org.apache.spark.serializer.JavaSerializer,4,2,480,20,80,small,wordcount,16,8
939,8,org.apache.spark.serializer.JavaSerializer,2,6,480,20,320,bigdata,wordcount,16,12
2,12,org.apache.spark.serializer.JavaSerializer,2,4,360,360,320,large,aggregation,24,8
71,4,org.apache.spark.serializer.JavaSerializer,6,2,480,240,640,small,aggregation,24,12
96,12,org.apache.spark.serializer.KryoSerializer,2,2,360,480,160,small,aggregation,24,4
329,12,org.apache.spark.serializer.JavaSerializer,2,6,80,20,320,tiny,aggregation,24,12
452,4,org.apache.spark.serializer.JavaSerializer,6,2,360,20,640,huge,aggregation,24,12
594,12,org.apache.spark.serializer.KryoSerializer,2,4,480,240,160,huge,aggregation,24,8
20,12,org.apache.spark.serializer.KryoSerializer,2,6,480,20,640,bigdata,join,24,12
170,4,org.apache.spark.serializer.JavaSerializer,6,2,40,360,320,tiny,join,24,12
748,12,org.apache.spark.serializer.JavaSerializer,2,6,240,40,640,bigdata,join,24,12
778,12,org.apache.spark.serializer.JavaSerializer,2,6,240,360,80,large,join,24,12
874,12,org.apache.spark.serializer.JavaSerializer,2,6,20,480,80,gigantic,join,24,12
993,4,org.apache.spark.serializer.JavaSerializer,6,2,40,360,640,large,join,24,12
129,12,org.apache.spark.serializer.JavaSerializer,2,6,40,20,80,gigantic,scan,24,12
147,12,org.apache.spark.serializer.KryoSerializer,2,6,80,360,160,huge,scan,24,12
173,12,org.apache.spark.serializer.KryoSerializer,2,6,480,20,80,tiny,scan,24,12
913,4,org.apache.spark.serializer.KryoSerializer,6,2,240,40,80,small,scan,24,12
948,4,org.apache.spark.serializer.KryoSerializer,6,2,40,480,320,large,scan,24,12
975,4,org.apache.spark.serializer.JavaSerializer,6,2,480,360,640,large,scan,24,12
56,12,org.apache.spark.serializer.JavaSerializer,2,6,40,240,640,gigantic,sort,24,12
61,12,org.apache.spark.serializer.KryoSerializer,2,6,20,40,640,small,sort,24,12
167,12,org.apache.spark.serializer.KryoSerializer,2,2,80,240,80,bigdata,sort,24,4
254,12,org.apache.spark.serializer.KryoSerializer,2,2,80,480,640,small,sort,24,4
301,4,org.apache.spark.serializer.KryoSerializer,6,2,240,80,80,tiny,sort,24,12
628,4,org.apache.spark.serializer.JavaSerializer,6,2,40,360,320,gigantic,sort,24,12
658,12,org.apache.spark.serializer.JavaSerializer,2,4,240,360,640,gigantic,sort,24,8
776,12,org.apache.spark.serializer.JavaSerializer,2,4,360,240,640,bigdata,sort,24,8
785,12,org.apache.spark.serializer.JavaSerializer,2,4,80,360,80,gigantic,sort,24,8
817,12,org.apache.spark.serializer.KryoSerializer,2,2,80,40,320,huge,sort,24,4
92,4,org.apache.spark.serializer.JavaSerializer,6,2,480,480,80,tiny,terasort,24,12
108,12,org.apache.spark.serializer.KryoSerializer,2,6,480,80,320,huge,terasort,24,12
157,12,org.apache.spark.serializer.KryoSerializer,2,4,480,480,320,gigantic,terasort,24,8
197,12,org.apache.spark.serializer.JavaSerializer,2,2,240,40,160,tiny,terasort,24,4
360,12,org.apache.spark.serializer.JavaSerializer,2,2,360,20,160,small,terasort,24,4
408,12,org.apache.spark.serializer.KryoSerializer,2,2,20,40,640,tiny,terasort,24,4
513,4,org.apache.spark.serializer.KryoSerializer,6,2,360,40,320,tiny,terasort,24,12
547,12,org.apache.spark.serializer.JavaSerializer,2,4,360,40,640,bigdata,terasort,24,8
552,12,org.apache.spark.serializer.KryoSerializer,2,4,80,360,80,huge,terasort,24,8
575,12,org.apache.spark.serializer.JavaSerializer,2,6,40,240,80,gigantic,terasort,24,12
625,12,org.apache.spark.serializer.JavaSerializer,2,2,20,480,640,large,terasort,24,4
914,12,org.apache.spark.serializer.KryoSerializer,2,2,360,240,80,small,terasort,24,4
916,12,org.apache.spark.serializer.JavaSerializer,2,6,20,480,640,tiny,terasort,24,12
649,12,org.apache.spark.serializer.KryoSerializer,2,2,40,240,80,huge,wordcount,24,4
726,4,org.apache.spark.serializer.KryoSerializer,6,2,20,480,160,bigdata,wordcount,24,12
7,8,org.apache.spark.serializer.JavaSerializer,4,2,40,360,160,large,aggregation,32,8
380,8,org.apache.spark.serializer.KryoSerializer,4,4,360,20,80,tiny,aggregation,32,16
457,8,org.apache.spark.serializer.JavaSerializer,4,6,480,480,80,gigantic,aggregation,32,24
458,4,org.apache.spark.serializer.KryoSerializer,8,2,240,240,160,small,aggregation,32,16
479,8,org.apache.spark.serializer.KryoSerializer,4,6,240,240,320,gigantic,aggregation,32,24
616,8,org.apache.spark.serializer.JavaSerializer,4,2,80,480,160,large,aggregation,32,8
759,8,org.apache.spark.serializer.JavaSerializer,4,4,20,240,160,small,aggregation,32,16
773,8,org.apache.spark.serializer.JavaSerializer,4,6,40,480,160,tiny,aggregation,32,24
860,8,org.apache.spark.serializer.KryoSerializer,4,4,40,40,160,large,aggregation,32,16
922,4,org.apache.spark.serializer.KryoSerializer,8,2,40,40,160,gigantic,aggregation,32,16
986,8,org.apache.spark.serializer.KryoSerializer,4,4,240,40,640,huge,aggregation,32,16
181,8,org.apache.spark.serializer.KryoSerializer,4,6,360,240,80,large,join,32,24
290,8,org.apache.spark.serializer.JavaSerializer,4,2,20,40,640,tiny,join,32,8
336,8,org.apache.spark.serializer.KryoSerializer,4,6,360,480,80,bigdata,join,32,24
510,8,org.apache.spark.serializer.JavaSerializer,4,2,40,360,640,tiny,join,32,8
559,8,org.apache.spark.serializer.KryoSerializer,4,4,360,480,320,large,join,32,16
990,4,org.apache.spark.serializer.JavaSerializer,8,2,80,480,640,tiny,join,32,16
371,8,org.apache.spark.serializer.JavaSerializer,4,2,240,480,160,small,scan,32,8
414,8,org.apache.spark.serializer.JavaSerializer,4,2,80,20,320,gigantic,scan,32,8
460,4,org.apache.spark.serializer.JavaSerializer,8,2,360,20,640,small,scan,32,16
606,8,org.apache.spark.serializer.KryoSerializer,4,6,20,80,160,gigantic,scan,32,24
617,8,org.apache.spark.serializer.KryoSerializer,4,2,40,240,320,large,scan,32,8
685,8,org.apache.spark.serializer.KryoSerializer,4,6,20,240,640,gigantic,scan,32,24
821,8,org.apache.spark.serializer.JavaSerializer,4,6,480,480,160,small,scan,32,24
59,8,org.apache.spark.serializer.KryoSerializer,4,2,480,80,80,tiny,sort,32,8
289,8,org.apache.spark.serializer.KryoSerializer,4,2,480,20,160,gigantic,sort,32,8
297,8,org.apache.spark.serializer.KryoSerializer,4,4,480,20,640,gigantic,sort,32,16
298,8,org.apache.spark.serializer.JavaSerializer,4,4,480,20,320,small,sort,32,16
372,8,org.apache.spark.serializer.JavaSerializer,4,4,360,360,640,bigdata,sort,32,16
470,8,org.apache.spark.serializer.KryoSerializer,4,4,480,20,160,huge,sort,32,16
560,8,org.apache.spark.serializer.KryoSerializer,4,4,360,80,160,bigdata,sort,32,16
717,8,org.apache.spark.serializer.JavaSerializer,4,2,480,20,80,gigantic,sort,32,8
936,8,org.apache.spark.serializer.JavaSerializer,4,2,20,360,160,bigdata,sort,32,8
955,8,org.apache.spark.serializer.KryoSerializer,4,6,480,240,320,huge,sort,32,24
989,8,org.apache.spark.serializer.KryoSerializer,4,4,80,360,160,large,sort,32,16
347,4,org.apache.spark.serializer.KryoSerializer,8,2,20,240,80,tiny,terasort,32,16
694,4,org.apache.spark.serializer.JavaSerializer,8,2,360,20,640,small,terasort,32,16
760,8,org.apache.spark.serializer.JavaSerializer,4,4,360,40,80,huge,terasort,32,16
188,4,org.apache.spark.serializer.KryoSerializer,8,2,360,20,320,small,wordcount,32,16
302,8,org.apache.spark.serializer.KryoSerializer,4,2,240,480,160,tiny,wordcount,32,8
318,8,org.apache.spark.serializer.JavaSerializer,4,2,20,20,320,small,wordcount,32,8
350,8,org.apache.spark.serializer.JavaSerializer,4,4,480,80,80,tiny,wordcount,32,16
739,4,org.apache.spark.serializer.JavaSerializer,8,2,80,480,640,gigantic,wordcount,32,16
787,8,org.apache.spark.serializer.KryoSerializer,4,4,480,360,80,tiny,wordcount,32,16
985,4,org.apache.spark.serializer.JavaSerializer,8,2,80,240,160,small,wordcount,32,16
130,20,org.apache.spark.serializer.KryoSerializer,2,4,20,20,640,tiny,aggregation,40,8
274,20,org.apache.spark.serializer.KryoSerializer,2,4,360,80,640,tiny,aggregation,40,8
335,20,org.apache.spark.serializer.JavaSerializer,2,4,360,240,80,bigdata,aggregation,40,8
440,20,org.apache.spark.serializer.JavaSerializer,2,6,40,240,80,large,aggregation,40,12
487,20,org.apache.spark.serializer.JavaSerializer,2,6,360,480,160,small,aggregation,40,12
665,20,org.apache.spark.serializer.KryoSerializer,2,4,240,360,160,bigdata,aggregation,40,8
752,4,org.apache.spark.serializer.JavaSerializer,10,2,80,480,640,bigdata,aggregation,40,20
47,20,org.apache.spark.serializer.JavaSerializer,2,4,240,20,160,gigantic,join,40,8
610,20,org.apache.spark.serializer.JavaSerializer,2,6,40,40,80,huge,join,40,12
