,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
336,4,org.apache.spark.serializer.JavaSerializer,2,2,480,40,80,bigdata,join,8,4
834,4,org.apache.spark.serializer.KryoSerializer,2,2,20,360,320,bigdata,join,8,4
307,4,org.apache.spark.serializer.JavaSerializer,2,2,240,40,640,gigantic,scan,8,4
93,4,org.apache.spark.serializer.JavaSerializer,2,2,20,240,80,bigdata,wordcount,8,4
241,4,org.apache.spark.serializer.JavaSerializer,2,2,480,480,80,gigantic,wordcount,8,4
426,8,org.apache.spark.serializer.JavaSerializer,2,4,40,480,640,gigantic,aggregation,16,8
822,8,org.apache.spark.serializer.KryoSerializer,2,4,20,40,320,gigantic,aggregation,16,8
983,8,org.apache.spark.serializer.JavaSerializer,2,2,240,360,160,bigdata,aggregation,16,4
348,8,org.apache.spark.serializer.KryoSerializer,2,4,20,40,640,gigantic,join,16,8
615,8,org.apache.spark.serializer.JavaSerializer,2,4,480,20,160,bigdata,join,16,8
79,8,org.apache.spark.serializer.JavaSerializer,2,6,360,80,640,bigdata,terasort,16,12
923,8,org.apache.spark.serializer.KryoSerializer,2,2,360,480,80,bigdata,terasort,16,4
177,8,org.apache.spark.serializer.JavaSerializer,2,2,40,80,160,gigantic,wordcount,16,4
850,8,org.apache.spark.serializer.KryoSerializer,2,6,80,40,640,bigdata,wordcount,16,12
629,12,org.apache.spark.serializer.KryoSerializer,2,4,20,40,640,bigdata,aggregation,24,8
275,12,org.apache.spark.serializer.JavaSerializer,2,4,80,80,80,gigantic,join,24,8
447,12,org.apache.spark.serializer.KryoSerializer,2,2,40,80,320,gigantic,join,24,4
963,12,org.apache.spark.serializer.KryoSerializer,2,6,20,240,640,gigantic,join,24,12
19,12,org.apache.spark.serializer.JavaSerializer,2,2,360,480,160,gigantic,scan,24,4
32,4,org.apache.spark.serializer.KryoSerializer,6,2,80,40,80,bigdata,scan,24,12
71,12,org.apache.spark.serializer.JavaSerializer,2,2,480,240,320,bigdata,scan,24,4
119,12,org.apache.spark.serializer.KryoSerializer,2,6,360,40,320,gigantic,scan,24,12
561,12,org.apache.spark.serializer.KryoSerializer,2,6,240,80,320,gigantic,scan,24,12
929,12,org.apache.spark.serializer.JavaSerializer,2,2,80,360,320,bigdata,scan,24,4
469,4,org.apache.spark.serializer.JavaSerializer,6,2,20,480,640,bigdata,sort,24,12
523,12,org.apache.spark.serializer.KryoSerializer,2,6,360,480,80,gigantic,sort,24,12
664,12,org.apache.spark.serializer.KryoSerializer,2,4,20,240,80,gigantic,sort,24,8
583,12,org.apache.spark.serializer.JavaSerializer,2,4,480,20,80,bigdata,terasort,24,8
77,12,org.apache.spark.serializer.JavaSerializer,2,2,480,20,80,bigdata,wordcount,24,4
