,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
190,4,org.apache.spark.serializer.JavaSerializer,2,2,20,20,80,small,aggregation,8,4
920,4,org.apache.spark.serializer.KryoSerializer,2,2,40,80,320,small,join,8,4
281,4,org.apache.spark.serializer.JavaSerializer,2,2,480,20,640,large,sort,8,4
421,4,org.apache.spark.serializer.JavaSerializer,2,2,80,360,80,large,sort,8,4
979,4,org.apache.spark.serializer.KryoSerializer,2,2,40,360,160,large,sort,8,4
323,4,org.apache.spark.serializer.KryoSerializer,2,2,360,240,160,large,wordcount,8,4
337,4,org.apache.spark.serializer.JavaSerializer,2,2,360,40,80,small,wordcount,8,4
415,4,org.apache.spark.serializer.JavaSerializer,2,2,360,80,160,tiny,wordcount,8,4
665,4,org.apache.spark.serializer.JavaSerializer,2,2,40,480,160,huge,wordcount,8,4
243,4,org.apache.spark.serializer.KryoSerializer,4,2,40,40,80,huge,aggregation,16,8
499,8,org.apache.spark.serializer.JavaSerializer,2,6,240,480,160,small,aggregation,16,12
524,8,org.apache.spark.serializer.JavaSerializer,2,6,20,20,640,large,aggregation,16,12
793,8,org.apache.spark.serializer.JavaSerializer,2,6,360,40,160,large,aggregation,16,12
883,8,org.apache.spark.serializer.JavaSerializer,2,4,240,480,160,small,aggregation,16,8
109,8,org.apache.spark.serializer.KryoSerializer,2,6,80,20,160,tiny,join,16,12
121,8,org.apache.spark.serializer.JavaSerializer,2,4,40,20,640,small,scan,16,8
517,4,org.apache.spark.serializer.KryoSerializer,4,2,360,480,320,large,scan,16,8
655,8,org.apache.spark.serializer.JavaSerializer,2,4,80,480,160,tiny,scan,16,8
829,8,org.apache.spark.serializer.KryoSerializer,2,6,20,480,80,huge,scan,16,12
973,8,org.apache.spark.serializer.JavaSerializer,2,4,360,360,80,huge,scan,16,8
986,8,org.apache.spark.serializer.KryoSerializer,2,6,360,480,80,small,scan,16,12
7,8,org.apache.spark.serializer.JavaSerializer,2,6,480,480,80,huge,sort,16,12
33,8,org.apache.spark.serializer.JavaSerializer,2,6,240,80,80,large,sort,16,12
111,8,org.apache.spark.serializer.JavaSerializer,2,4,40,480,80,huge,sort,16,8
274,8,org.apache.spark.serializer.KryoSerializer,2,2,240,360,160,large,sort,16,4
293,8,org.apache.spark.serializer.KryoSerializer,2,4,480,240,320,small,sort,16,8
350,8,org.apache.spark.serializer.KryoSerializer,2,6,40,20,640,small,sort,16,12
451,4,org.apache.spark.serializer.JavaSerializer,4,2,20,40,320,huge,sort,16,8
513,4,org.apache.spark.serializer.KryoSerializer,4,2,240,360,320,tiny,sort,16,8
651,8,org.apache.spark.serializer.KryoSerializer,2,2,360,20,80,small,sort,16,4
692,8,org.apache.spark.serializer.JavaSerializer,2,4,360,40,80,huge,sort,16,8
971,8,org.apache.spark.serializer.JavaSerializer,2,4,480,240,320,tiny,sort,16,8
373,8,org.apache.spark.serializer.KryoSerializer,2,6,240,360,640,large,terasort,16,12
410,8,org.apache.spark.serializer.KryoSerializer,2,4,80,240,160,huge,terasort,16,8
434,8,org.apache.spark.serializer.KryoSerializer,2,6,240,240,80,tiny,terasort,16,12
564,8,org.apache.spark.serializer.KryoSerializer,2,6,40,40,80,large,terasort,16,12
597,4,org.apache.spark.serializer.JavaSerializer,4,2,80,360,320,small,terasort,16,8
748,8,org.apache.spark.serializer.KryoSerializer,2,4,240,240,320,tiny,terasort,16,8
800,8,org.apache.spark.serializer.JavaSerializer,2,4,360,480,80,huge,terasort,16,8
15,4,org.apache.spark.serializer.JavaSerializer,4,2,240,240,80,small,wordcount,16,8
104,8,org.apache.spark.serializer.JavaSerializer,2,2,240,240,640,large,wordcount,16,4
133,4,org.apache.spark.serializer.KryoSerializer,4,2,40,360,160,small,wordcount,16,8
273,8,org.apache.spark.serializer.JavaSerializer,2,2,40,20,320,large,wordcount,16,4
537,8,org.apache.spark.serializer.KryoSerializer,2,6,240,20,80,large,wordcount,16,12
159,12,org.apache.spark.serializer.JavaSerializer,2,6,20,240,320,small,aggregation,24,12
215,4,org.apache.spark.serializer.KryoSerializer,6,2,240,240,160,huge,aggregation,24,12
279,12,org.apache.spark.serializer.KryoSerializer,2,4,40,20,320,small,aggregation,24,8
300,12,org.apache.spark.serializer.KryoSerializer,2,2,360,20,640,large,aggregation,24,4
450,4,org.apache.spark.serializer.JavaSerializer,6,2,360,40,80,tiny,aggregation,24,12
481,12,org.apache.spark.serializer.KryoSerializer,2,6,240,360,640,small,aggregation,24,12
491,12,org.apache.spark.serializer.JavaSerializer,2,4,480,360,160,tiny,aggregation,24,8
62,12,org.apache.spark.serializer.KryoSerializer,2,2,20,360,320,small,join,24,4
312,4,org.apache.spark.serializer.JavaSerializer,6,2,40,360,80,tiny,join,24,12
446,12,org.apache.spark.serializer.JavaSerializer,2,6,240,40,80,small,join,24,12
690,12,org.apache.spark.serializer.JavaSerializer,2,6,40,20,80,huge,join,24,12
770,4,org.apache.spark.serializer.JavaSerializer,6,2,360,480,80,large,join,24,12
975,4,org.apache.spark.serializer.JavaSerializer,6,2,240,480,320,huge,join,24,12
50,12,org.apache.spark.serializer.JavaSerializer,2,2,80,360,80,small,scan,24,4
286,12,org.apache.spark.serializer.KryoSerializer,2,2,80,40,80,tiny,scan,24,4
539,12,org.apache.spark.serializer.KryoSerializer,2,2,360,480,160,huge,scan,24,4
708,4,org.apache.spark.serializer.JavaSerializer,6,2,80,240,320,small,scan,24,12
844,12,org.apache.spark.serializer.JavaSerializer,2,6,480,480,80,small,scan,24,12
891,12,org.apache.spark.serializer.JavaSerializer,2,2,40,360,160,tiny,sort,24,4
944,12,org.apache.spark.serializer.KryoSerializer,2,6,80,360,640,huge,sort,24,12
346,12,org.apache.spark.serializer.KryoSerializer,2,6,480,20,80,huge,terasort,24,12
506,12,org.apache.spark.serializer.KryoSerializer,2,4,240,20,320,large,terasort,24,8
532,12,org.apache.spark.serializer.JavaSerializer,2,4,40,80,160,tiny,terasort,24,8
766,12,org.apache.spark.serializer.KryoSerializer,2,6,20,480,320,large,terasort,24,12
826,12,org.apache.spark.serializer.JavaSerializer,2,2,480,20,160,large,terasort,24,4
85,4,org.apache.spark.serializer.KryoSerializer,6,2,40,20,320,huge,wordcount,24,12
277,12,org.apache.spark.serializer.KryoSerializer,2,2,20,240,160,large,wordcount,24,4
389,12,org.apache.spark.serializer.JavaSerializer,2,2,360,480,160,tiny,wordcount,24,4
580,4,org.apache.spark.serializer.KryoSerializer,6,2,360,20,80,tiny,wordcount,24,12
656,4,org.apache.spark.serializer.KryoSerializer,6,2,360,480,160,tiny,wordcount,24,12
